,ClientID,RiskPropension,PortfolioRisk,ClientInvestmentHorizon,PortfolioHorizon,ClientKnowledgeExperience,ClientPotentialIndex,IncomeHighLow,Sex,AuM,Age,IncomeNeed,LongTermCareNeed,ProtectionNeed,PensionNeed,InheritanceIndex,PanicMood,ClientDateStart,NoTrustInBanks,Prov,BondInvestments,EquityInvestments,MoneyMarketInvestments,OtherInvestments,Cash,Clusters
0,Client1,0.597553074,0.0877873,20.77883137,3.7027,0.28571428600000004,0.14846625800000002,0,1,13719,22,0.079214601,0.7975115209999999,0.204401403,0.633761776,0.11480306900000001,0,2015,0,PA,0.573,0.42700000000000005,0.0,0.0,0.0,0
1,Client2,0.501486406,0.062289919000000006,15.22847727,2.7327,0.7142857140000001,0.152760736,0,1,45973,61,0.28160183899999996,0.174659738,0.153599073,0.629258119,0.505361938,0,2016,0,RM,0.5341,0.4466,0.0124,0.0,0.006999999999999999,0
2,Client3,0.554108276,0.0,9.675789154,0.5,0.523809524,0.243558282,0,0,10233,24,0.12401461,0.8829954190000001,0.76960803,0.663677141,0.06992420099999999,0,2015,0,BS,0.0,0.0,0.0,0.0,1.0,2
3,Client4,0.440729064,0.032341096,9.563829219,2.5676,0.6190476189999999,0.089570552,0,0,25144,46,0.20960999600000002,0.548210999,0.226217892,0.21801852600000002,0.415669988,0,2015,0,RE,0.6428,0.122,0.0407,0.1943,0.0002,0
4,Client5,0.540527856,0.037852406,17.9415327,2.4911,0.428571429,0.162576687,0,0,222892,57,0.320086264,0.9076435629999999,0.7039364029999999,0.506315426,0.33505653399999996,0,2015,0,MI,0.1707,0.2701,0.5332,0.0045,0.0215,-1
5,Client6,0.5650800739999999,0.05381098,13.61214476,2.0155,0.6190476189999999,0.279754601,0,1,34746,50,0.281612745,0.185408565,0.690447602,0.23896778899999999,0.502122616,0,2015,0,TO,0.5243,0.2488,0.0,0.0,0.2269,3
6,Client7,0.58223359,0.057505375,15.60186404,2.5035,0.6190476189999999,0.37239263799999994,0,1,313942,53,0.604597986,0.21510785100000002,0.647778906,0.6205192310000001,0.638439431,0,2014,0,VR,0.5816,0.3049,0.0714,0.0421,0.0,-1
7,Client8,0.337518205,0.006086667,3.75,2.8892,0.523809524,0.10613496900000001,0,1,124883,80,0.469228793,0.218887588,0.431528239,0.047210145999999995,0.666763226,0,2015,0,,0.0,0.0,0.5587,0.3186,0.1228,0
8,Client9,0.323619953,0.0,4.17,0.5,0.904761905,0.4,0,1,75549,91,0.44214696299999995,0.228424503,0.47574405200000003,0.112117046,0.762881458,0,2016,1,SV,0.0,0.0,0.0,0.0,1.0,0
9,Client10,0.55730169,0.021439602999999998,9.309025222,1.247,0.428571429,0.074846626,0,0,25948,52,0.214093127,0.514127171,0.707950413,0.541625999,0.488133936,0,2015,0,BO,0.6743,0.1833,0.1259,0.0,0.0166,3
10,Client11,0.630841159,0.0,17.362278399999997,0.5,0.7142857140000001,0.48957055200000005,0,0,94992,46,0.27427642399999996,0.473586536,0.754553818,0.695755887,0.6238174870000001,0,2015,1,BG,0.0,0.0,0.0,0.0,1.0,-1
11,Client12,0.5842684539999999,0.065166702,28.81503795,0.5,0.28571428600000004,0.14355828199999998,0,1,16933,24,0.11462244199999999,0.811149817,0.295797944,0.6757026340000001,0.10562358,0,2015,0,BS,0.0,0.0,0.0,0.0,1.0,0
12,Client13,0.396103084,0.039033401,8.777029745,1.8444,0.7142857140000001,0.260122699,0,0,157535,58,0.344005954,0.236965206,0.256728599,0.495030649,0.627996022,0,2014,0,VR,0.7136,0.2217,0.0136,0.0096,0.0415,0
13,Client14,0.28112443600000003,0.093692275,4.79,5.527,0.904761905,0.808588957,1,1,157838,79,0.443380492,0.09597441599999999,0.26585727600000003,0.208702676,0.845858639,0,2016,0,LO,0.3226,0.6703,0.001,0.0,0.0061,0
14,Client15,0.550322314,0.041092572,39.51380975,1.7008,0.6190476189999999,0.099386503,0,1,50033,42,0.205256393,0.170110033,0.7570423959999999,0.548673764,0.422703207,0,2016,0,TN,0.544,0.1678,0.0285,0.0201,0.2396,3
15,Client16,0.397927052,0.063592042,4.72,2.5901,1.0,0.3,0,0,437862,83,0.675490412,0.232324991,0.326074634,0.038996428,0.772529729,0,2015,0,PR,0.6079,0.2606,0.06,0.0715,0.0,1
16,Client17,0.394386233,0.036005208,10.2397523,1.8481,0.6190476189999999,0.36993865,0,1,30560,54,0.240219093,0.187940035,0.247109885,0.613470373,0.525575215,0,2016,0,TV,0.8102,0.1356,0.0194,0.0331,0.0016,0
17,Client18,0.381537147,0.046513035999999994,6.85,1.7528,0.428571429,0.128220859,0,0,10244,71,0.428509176,0.5417641129999999,0.322599863,0.117484111,0.526123573,0,2015,0,MB,0.7027,0.2973,0.0,0.0,0.0,0
18,Client19,0.42955044299999995,0.070223783,43.88907809,3.0047,0.80952381,0.26993865,0,0,101134,54,0.34648557,0.124243564,0.21692703800000002,0.744536553,0.573296507,0,2016,0,PA,0.4504,0.3393,0.0163,0.0,0.19399999999999998,0
19,Client20,0.517130441,0.072616055,19.74830082,2.4583,0.7142857140000001,0.255214724,0,1,456745,60,0.665970088,0.3514737,0.21332775899999998,0.504154667,0.6053677510000001,0,2015,0,PO,0.4978,0.3151,0.0318,0.0025,0.1528,1
20,Client21,0.318622277,0.068527996,7.01,1.7068,0.6190476189999999,0.428220859,1,0,105651,71,0.392474726,0.19769539100000003,0.319399755,0.089469431,0.730940145,0,2015,0,MI,0.6841,0.2079,0.0967,0.0,0.0114,0
21,Client22,0.400134914,0.047906005,11.276357899999999,3.2382,0.80952381,0.7797546009999999,1,1,11416,50,0.24865226199999999,0.150476235,0.229627141,0.6454956829999999,0.641634578,0,2015,0,MI,0.4675,0.4125,0.0327,0.0,0.0872,0
22,Client23,0.583703047,0.062411047000000004,21.35269977,2.0687,0.80952381,0.179754601,0,1,89286,50,0.24772327100000002,0.927522105,0.64609429,0.540109585,0.285912122,0,2015,0,MO,0.5635,0.3529,0.0331,0.0188,0.0317,2
23,Client24,0.639890408,0.034006601000000004,15.41403162,2.2551,0.6190476189999999,0.40674846600000003,0,1,82239,39,0.21598509,0.7408969790000001,0.634348888,0.593128216,0.308586152,0,2015,0,FI,0.6857,0.0676,0.0557,0.1827,0.0083,3
24,Client25,0.38285648,0.046119371,9.221949617,2.5272,0.6190476189999999,0.157668712,0,0,80017,59,0.283717442,0.5173764679999999,0.22075181600000002,0.148217646,0.492028484,0,2015,0,RM,0.4702,0.2696,0.052000000000000005,0.0744,0.1337,0
25,Client26,0.564805098,0.08124640400000001,8.697000699,4.2964,0.904761905,0.46257668700000004,0,0,309016,57,0.636000154,0.559357119,0.134901184,0.1505113,0.694494974,0,2016,0,PR,0.4763,0.3696,0.0053,0.1488,0.0,1
26,Client27,0.535538042,0.026103018999999998,16.36755067,0.5,0.28571428600000004,0.074846626,0,0,16379,52,0.240022542,0.8883259459999999,0.796474795,0.660429256,0.479594797,0,1986,0,MI,1.0,0.0,0.0,0.0,0.0,3
27,Client28,0.46201564700000003,0.045816552,6.45,5.5284,0.80952381,0.135582822,0,0,110879,68,0.35690278200000003,0.517436821,0.180979988,0.150885471,0.589182384,0,2015,0,VI,0.2921,0.2645,0.0139,0.4289,0.0006,0
28,Client29,0.607633882,0.056112407,12.70200678,1.9875,0.523809524,0.099386503,0,0,19613,42,0.199411598,0.86730455,0.641950338,0.956768155,0.17258966899999997,0,2015,0,LU,0.4156,0.3243,0.0013,0.0,0.2588,2
29,Client30,0.61208816,0.132332011,13.19200483,7.9998,0.904761905,0.394478528,1,1,15343,44,0.232835357,0.5202957570000001,0.014672645,0.798792087,0.462352686,0,2015,0,NO,0.1,0.9,0.0,0.0,0.0,0
30,Client31,0.388637986,0.21397208,6.94,6.5964,0.80952381,0.43558282200000004,0,1,287494,68,0.646085302,0.17053915,0.175332865,0.11966580800000001,0.7859191059999999,0,2015,1,BL,0.1641,0.79,0.0101,0.0256,0.0102,1
31,Client32,0.36151771899999996,0.061411743,8.001612966,2.7655,0.7142857140000001,0.142944785,0,0,160111,65,0.28047436,0.546836257,0.184897275,0.475763496,0.600672278,0,2015,0,MO,0.3777,0.3503,0.0021,0.0,0.27,0
32,Client33,0.726719508,0.024134693999999998,15.7870909,0.5,0.428571429,0.255828221,0,0,36659,19,0.137250599,0.87068128,0.723444865,0.656565188,0.11326275300000001,0,2015,0,TO,0.8697,0.0,0.1132,0.0,0.0171,2
33,Client34,0.506292421,0.050631378,5.25,1.5529,0.904761905,0.820858896,1,0,6360990,74,0.604025543,0.447474607,0.304926082,0.108697149,0.9480746879999999,0,2015,0,BG,0.7021,0.2142,0.0541,0.0291,0.0005,1
34,Client35,0.459272629,0.161856888,15.38421005,0.5,0.7142857140000001,0.26993865,0,1,143391,54,0.222297073,0.5260399020000001,0.27315563600000003,0.5349896670000001,0.543064569,0,2015,1,TO,0.9911,0.0,0.0,0.0,0.0089,0
35,Client36,0.49699564799999996,0.053750415999999995,3.2505,4.2509,0.80952381,0.355214724,0,1,29548,60,0.32156840000000003,0.417508609,0.350331803,0.640149503,0.47225850799999997,0,2015,0,MI,0.2797,0.4683,0.1422,0.1099,0.0,0
36,Client37,0.466518563,0.0,3.795,0.5,0.380952381,0.250306748,0,1,22484,62,0.326434132,0.19502331399999998,0.488825756,0.46889743100000003,0.49330404,0,2015,0,PR,0.0,0.0,0.0,0.0,1.0,0
37,Client38,0.6951810709999999,0.025073434,10.26758128,2.3775,0.428571429,0.11656441699999999,0,0,13171,35,0.182395643,0.45684053700000005,0.67784927,0.636169536,0.33169272899999996,0,2016,0,TV,0.3417,0.1997,0.0,0.038,0.4207,3
38,Client39,0.652635979,0.054174362999999996,9.474056979,1.9341,0.28571428600000004,0.150920245,0,1,10664,21,0.091026964,0.7549212740000001,0.6860204440000001,0.308390615,0.062962193,0,2015,0,LC,0.5737,0.2868,0.0956,0.0,0.0439,2
39,Client40,0.49830237899999996,0.041546801,11.83214813,2.0111,0.904761905,0.201840491,0,1,82011,41,0.2049201,0.080171652,0.222217109,0.6163526570000001,0.44561389,0,2016,0,MI,0.7711,0.2053,0.0015,0.0,0.0221,0
40,Client41,0.479198876,0.022257215,6.19,1.037,0.80952381,0.120858896,0,0,364362,74,0.682781038,0.541917539,0.36575727799999996,0.096993173,0.701465865,0,2014,0,CR,0.6532,0.0716,0.0033,0.0,0.2719,1
41,Client42,0.484757303,0.054295490999999994,19.36927437,1.0034,0.6190476189999999,0.16993865,0,0,74217,54,0.298615539,0.581051754,0.241484962,0.539547945,0.561900877,0,2016,0,MI,0.5261,0.1032,0.0281,0.016,0.3265,0
42,Client43,0.37144955799999996,0.056657480999999996,11.45326448,2.0,0.80952381,0.442944785,0,0,331465,65,0.685860215,0.162382796,0.20340529300000001,0.119173234,0.7808275920000001,0,2015,0,BG,0.4695,0.3099,0.1406,0.08,0.0,1
43,Client44,0.705530533,0.029918542000000003,8.438655587000001,2.2672,0.523809524,0.243558282,0,1,15870,24,0.12252706199999999,0.802820323,0.649946369,0.6832869,0.120496015,0,2015,0,RE,0.3465,0.2442,0.0166,0.0,0.3927,2
44,Client45,0.37666548200000005,0.047754595,13.146740300000001,1.9413,0.80952381,0.5552147239999999,0,0,77530,60,0.325014113,0.146939665,0.24228351,0.5119476829999999,0.669898428,0,2016,0,CN,0.4941,0.2997,0.1285,0.0777,0.0,0
45,Client46,0.585238493,0.061230052,22.73891191,3.043,0.428571429,0.177300613,0,0,154204,51,0.238782985,0.776897932,0.212237747,0.516270395,0.283801085,0,2015,0,CT,0.2447,0.33899999999999997,0.2868,0.0,0.1296,0
46,Client47,0.601967025,0.043454562,8.453421215,1.992,0.7142857140000001,0.384662577,0,0,216496,48,0.20100327199999998,0.442665053,0.67683193,0.5541296170000001,0.49825238299999997,0,2016,0,MB,0.7194,0.2222,0.0222,0.0105,0.0259,3
47,Client48,0.595001309,0.006783150999999999,13.63915604,0.5,0.523809524,0.36993865,0,0,47722,54,0.21504873600000002,0.519566758,0.751413634,0.72415148,0.554135264,0,2016,0,TV,0.97,0.03,0.0,0.0,0.0,-1
48,Client49,0.322175243,0.048875025999999995,5.93,2.1229,0.7142857140000001,0.425766871,1,1,331765,72,0.384145399,0.525802067,0.348260765,0.537289496,0.7655236190000001,0,2015,0,AL,0.5142,0.2201,0.044000000000000004,0.0254,0.1964,0
49,Client50,0.520982681,0.0,20.51607345,0.5,0.428571429,0.082208589,0,1,15308,49,0.256628503,0.827985833,0.756447608,0.6747272590000001,0.196147465,0,2015,0,VR,0.0,0.0,0.0,0.0,1.0,-1
50,Client51,0.670724489,0.040305242000000005,10.92232297,1.9717,0.28571428600000004,0.153374233,0,1,15306,20,0.095562989,0.7547242890000001,0.673233341,0.622465168,0.081117682,0,2016,0,MN,0.7266,0.2546,0.0,0.0,0.0189,2
51,Client52,0.45123457299999997,0.035520697999999996,48.20018548,2.5064,0.523809524,0.152760736,0,1,296783,61,0.620696895,0.151366956,0.215038395,0.48931320899999997,0.575958162,0,2016,0,MB,0.6447,0.1635,0.0404,0.1484,0.003,1
52,Client53,0.519393151,0.032159403999999996,10.6627532,2.1035,0.428571429,0.067484663,0,0,32427,55,0.265133556,0.20498839,0.23212171199999998,0.543112363,0.46127284799999996,0,1987,0,VA,0.6587,0.2594,0.0032,0.0,0.0786,0
53,Client54,0.7163638990000001,0.02171214,14.73442029,0.5,0.6190476189999999,0.22883435600000002,0,1,10973,30,0.135331762,0.8883612190000001,0.710419056,0.622457601,0.083962729,0,2015,0,VT,0.9994,0.0,0.0,0.0,0.0006,2
54,Client55,0.357508053,0.0,13.63460489,0.5,0.7142857140000001,0.255214724,0,1,179180,60,0.34371319,0.8107429079999999,0.294179403,0.477396007,0.44064962,0,2015,1,,0.0,0.0,0.0,0.0,1.0,0
55,Client56,0.45491517600000003,0.022226932999999997,5.19,0.9965,1.0,0.308588957,0,1,179468,79,0.421051261,0.14910273300000002,0.390846106,0.034838155,0.71138117,0,2016,0,CO,0.9257,0.071,0.0024,0.0,0.001,0
56,Client57,0.573038198,0.026557248,23.37428249,1.4927,0.523809524,0.136196319,0,1,52862,27,0.096515191,0.8074433000000001,0.730567682,0.666055689,0.165005328,0,2016,0,CO,0.6318,0.1599,0.0039,0.0,0.2043,2
57,Client58,0.723473375,0.041577083,11.93515475,2.5217,0.523809524,0.141104294,0,1,37623,25,0.112022389,0.850257356,0.640798214,0.304963933,0.100237115,0,2012,0,CZ,0.5824,0.3176,0.0632,0.0293,0.0075,2
58,Client59,0.6378952179999999,0.043636254000000006,19.56977821,2.3788,0.7142857140000001,0.306748466,0,1,50342,39,0.19870063899999998,0.8107413609999999,0.6820115859999999,0.612878271,0.409426784,0,2016,0,CA,0.6609999999999999,0.2937,0.0,0.0,0.0453,3
59,Client60,0.42428077299999994,0.015352936000000001,4.5,3.4059,0.6190476189999999,0.2,0,1,20164,83,0.44078785,0.105487964,0.368258153,0.08129573,0.458858353,0,2016,0,BO,0.5616,0.1179,0.0424,0.2756,0.0024,0
60,Client61,0.588990082,0.046361627,27.52887812,2.6022,0.23809523800000001,0.29202454,0,0,25906,45,0.21204987600000003,0.773224241,0.673181293,0.591028378,0.21322733100000002,0,2015,0,RC,0.3297,0.3549,0.0161,0.0,0.2993,2
61,Client62,0.7036516690000001,0.053053932000000005,10.58543861,2.1148,0.428571429,0.131288344,0,1,38811,29,0.131758885,0.8237359259999999,0.660904862,0.623729329,0.15046686,0,2016,0,LU,0.1651,0.2516,0.0,0.0,0.5834,2
62,Client63,0.565489984,0.047058111,33.78927998,1.7519999999999998,0.904761905,0.619018405,0,1,264028,34,0.51160068,0.190763291,0.6337035529999999,0.61318039,0.5483318979999999,0,2016,0,MI,0.6624,0.2817,0.0356,0.0202,0.0001,-1
63,Client64,0.8005131870000001,0.016503649,15.28342248,2.0549,0.28571428600000004,0.414110429,0,1,100596,36,0.208512822,0.29014227,0.6963009440000001,0.731262451,0.45902856299999995,0,2015,1,LT,0.0,0.0982,0.0,0.0,0.7927,-1
64,Client65,0.655390206,0.023953002,8.721353773999999,0.5,0.80952381,0.7527607359999999,1,1,1018380,61,0.544378832,0.48053144200000003,0.72822149,0.286720429,0.85263331,0,2016,0,BO,0.9861,0.0,0.0,0.0,0.0139,-1
65,Client66,0.463190051,0.038246071,10.27225737,1.9177,0.7142857140000001,0.255214724,0,1,370357,60,0.650961612,0.228611814,0.255535181,0.639022694,0.64675405,0,2016,0,MI,0.6755,0.175,0.0521,0.0705,0.0269,1
66,Client67,0.541395666,0.026375556,11.37775736,1.1785,0.6190476189999999,0.17239263800000001,0,1,73894,53,0.24232469,0.54517765,0.732038766,0.172046852,0.5325339,0,2016,0,TV,0.8372,0.0516,0.0336,0.0534,0.0242,3
67,Client68,0.423687343,0.020440299,6.25,1.3531,0.428571429,0.011042945,0,0,96597,78,0.377205489,0.207614506,0.372477292,0.10266674699999999,0.613053278,0,2015,0,LC,0.5989,0.1313,0.0187,0.0,0.251,0
68,Client69,0.537032316,0.046210217000000005,13.17586048,0.5,0.904761905,0.465030675,0,0,88398,56,0.31156674300000003,0.538593749,0.268773954,0.148582326,0.636784651,0,2016,0,TN,0.9059999999999999,0.0,0.0,0.0,0.094,0
69,Client70,0.630743567,0.039124247,10.30634737,2.8304,0.428571429,0.114110429,0,1,14627,36,0.18038148699999998,0.5471596710000001,0.660057624,0.214866447,0.356676263,0,2016,0,RE,0.4963,0.2231,0.0096,0.1017,0.1694,3
70,Client71,0.662117206,0.049753202,25.38590054,2.1185,0.428571429,0.33865030700000004,0,1,60018,26,0.1300714,0.770723522,0.6683376529999999,0.741478282,0.158594945,0,2016,0,TO,0.3942,0.2376,0.021,0.0064,0.3407,2
71,Client72,0.694708819,0.041728492,12.65037294,2.0126,0.333333333,0.253374233,1,0,51386,20,0.12803537199999998,0.852727453,0.702368115,0.650805092,0.12027981199999999,0,2015,1,GE,0.0,0.2017,0.0,0.0,0.7983,2
72,Client73,0.5121760679999999,0.031281228,10.816218,1.5668,0.7142857140000001,0.265030675,0,0,32260,56,0.351231545,0.24010904100000002,0.219991403,0.188114124,0.5487315779999999,0,2003,0,MN,0.7712,0.0,0.0,0.1422,0.0866,0
73,Client74,0.707200596,0.08530418199999999,36.44256831,5.4099,0.523809524,0.136196319,0,1,13879,27,0.11349531,0.570567115,0.107697049,0.639503549,0.32241166,0,2016,0,NO,0.0655,0.5892,0.0,0.0,0.3453,0
74,Client75,0.46633421399999997,0.045301759000000004,33.18127636,4.543,0.7142857140000001,0.189570552,0,0,75196,46,0.241808682,0.8161997679999999,0.127855856,0.586896541,0.202273856,0,2015,0,BO,0.1953,0.2813,0.0525,0.3279,0.1431,0
75,Client76,0.38210995799999997,0.06104836,9.865357781,2.2144,0.80952381,0.247852761,0,1,257187,63,0.619939748,0.765189188,0.23830319,0.471301459,0.421317292,0,2015,0,LC,0.6798,0.2561,0.0434,0.0207,0.0,1
76,Client77,0.7686139679999999,0.023831875,11.29711647,1.4538,0.428571429,0.14601227,0,0,10964,23,0.102586791,0.74061484,0.689497037,0.674838609,0.066605851,0,2015,0,LC,0.2425,0.1828,0.1214,0.0,0.4533,2
77,Client78,0.643662461,0.023922721,15.95868927,0.8774,0.428571429,0.08466257699999999,0,1,102912,48,0.228014808,0.166129568,0.737252844,0.193033937,0.487845187,0,2016,0,,0.8264,0.078,0.0012,0.0,0.0944,3
78,Client79,0.314660366,0.07646186,7.06,3.7816,0.7142857140000001,0.133128834,0,0,114820,69,0.294382219,0.153582548,0.21796126,0.12417627699999999,0.549586108,0,2016,0,RM,0.4817,0.4855,0.0042,0.0,0.0285,0
79,Client80,0.677782613,0.014262786999999999,10.0683617,2.4757,0.523809524,0.109202454,0,0,23352,38,0.19095862800000002,0.802665532,0.648219425,0.579610513,0.192093052,0,2016,0,TV,0.5202,0.0564,0.0351,0.221,0.1673,2
80,Client81,0.597508171,0.035429852000000005,7.722,2.6397,0.80952381,0.39202454,0,0,63036,45,0.20390091100000002,0.5235868579999999,0.623270436,0.57969521,0.43521963700000005,0,2015,0,BS,0.4311,0.3321,0.1351,0.0465,0.0552,3
81,Client82,0.385276036,0.049208128,9.223503557,2.2871,0.80952381,0.35030674799999995,0,0,288848,62,0.6573043270000001,0.655061363,0.186606308,0.48394222200000003,0.706065265,0,2016,0,PI,0.5793,0.2993,0.0804,0.0377,0.0032,1
82,Client83,0.645746014,0.013445175,11.49913557,1.2365,0.7142857140000001,0.19202454,0,1,67211,45,0.218630834,0.65867386,0.721668375,0.581749775,0.448987394,0,2015,0,TV,0.6737,0.0639,0.003,0.0378,0.2217,3
83,Client84,0.31536037899999997,0.034793932,8.17107808,1.5414,0.7142857140000001,0.340490798,0,1,30681,66,0.384732715,0.24336880600000002,0.237962194,0.464025852,0.6290891470000001,0,2016,0,MB,0.3259,0.2151,0.4032,0.0555,0.0002,0
84,Client85,0.482935944,0.0,9.140813261,0.5,0.523809524,0.265030675,0,1,63658,56,0.316115795,0.264720673,0.31084837600000004,0.48391523399999997,0.565066284,0,2016,1,MB,0.0,0.0,0.0,0.0,1.0,0
85,Client86,0.526802698,0.025709354,3.95,1.0131,0.523809524,0.118404908,0,0,108082,75,0.37853802,0.81109596,0.437380486,0.064924028,0.671500979,0,2016,0,RA,0.8523,0.075,0.0066,0.0,0.0661,0
86,Client87,0.581646704,0.037943252000000004,9.970321299,1.8381,0.80952381,0.76993865,1,0,760624,54,0.529347555,0.27163104899999996,0.675280359,0.33119198899999996,0.7494414429999999,0,2016,0,VI,0.6045,0.1772,0.037000000000000005,0.0,0.1813,-1
